,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
REP_K2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61274458728291,NA,NA,NA,0.463032970625489,-0.010415325863651,NA,NA,NA
REP_KAP2,NA,NA,NA,NA,NA,NA,NA,NA,-4.27018190219156E-05,3.09593429082557,NA,NA,NA,NA,2.4439833054368,NA,NA,NA,4.27959864465033,NA,NA,NA,4.6719991657599,NA,2.25877975071519,2.09712656481535,NA,NA,2.85500649414493,2.50519455828731,1.85174294857999,NA,NA
REP_N2,NA,NA,NA,NA,NA,NA,NA,-0.957599487154078,NA,NA,NA,0.990716100842438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6961372853516,1.60907376601869,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_P2,NA,NA,NA,-3.22455961695327,-1.27580919526812,-1.12042042342781,NA,NA,NA,NA,NA,NA,-0.488956252766057,NA,NA,-0.213078187935431,NA,NA,NA,NA,-1.44360088255263,NA,NA,NA,NA,NA,0.377342613827423,NA,NA,NA,NA,NA,NA
REP_PTS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.84528164745333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.87533604304986,-0.227275977527441,-4.18224955208467,NA,NA
REP_Q2,NA,23.18819544891,NA,NA,NA,NA,NA,2.44198855491224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_QN2,NA,24.0272452017208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.355537351634757,NA,NA,-0.331455013157878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_R2,-0.729665552363091,NA,NA,NA,NA,-0.716926374595935,NA,NA,NA,NA,NA,NA,-0.290687725320996,NA,NA,-0.329980288815206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_RG2,NA,NA,NA,NA,NA,NA,NA,NA,6.26998733065759E-05,NA,NA,NA,-0.758288580439263,NA,NA,-0.194307934713223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REP_S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.78440605747497,NA,NA,NA,NA,NA,NA,NA,2.43218026906706,NA,NA,NA,NA,NA,NA,NA,NA,-1.78168051742385,NA,NA,NA
