idr_name,NAME,"GO:0005654,nucleoplasm","GO:0005730,nucleolus","GO:0005739,mitochondrion","GO:0005740,mitochondrial envelope","GO:0005741,mitochondrial outer membrane","GO:0005758,mitochondrial intermembrane space","GO:0031966,mitochondrial membrane","GO:0035556,intracellular signal transduction","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098798,mitochondrial protein complex","GO:0098799,outer mitochondrial membrane protein complex"
YBL086C_idr_3,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL086C_idr_4,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL086C_idr_5,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_14,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_21,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_22,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_25,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_37,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_41,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_43,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL088C_idr_7,TEL1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL091C-A_idr_1,SCS22,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL091C_idr_1,MAP2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL093C_idr_2,ROX3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL097W_idr_10,BRN1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL097W_idr_15,BRN1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL097W_idr_8,BRN1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL097W_idr_9,BRN1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL099W_idr_1,ATP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_1,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_10,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_12,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_3,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_4,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_7,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL101C_idr_9,ECM21,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL102W_idr_2,SFT2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL103C_idr_3,RTG3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL103C_idr_4,RTG3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL104C_idr_11,SEA4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL104C_idr_3,SEA4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL104C_idr_7,SEA4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL105C_idr_13,PKC1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL105C_idr_3,PKC1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL106C_idr_10,SRO77,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL106C_idr_2,SRO77,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR001C_idr_2,NTH2,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR003W_idr_3,COQ1,0,0,1,0,0,0,0,0,0,0,0,0,0
YBR007C_idr_1,DSF2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR014C_idr_4,GRX7,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR016W_idr_1,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR021W_idr_1,FUR4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR021W_idr_3,FUR4,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR023C_idr_1,CHS3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR023C_idr_11,CHS3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR023C_idr_2,CHS3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR024W_idr_1,SCO2,0,0,1,0,0,0,1,0,0,0,0,0,0
YBR028C_idr_1,YPK3,0,0,0,0,0,0,0,1,0,0,0,0,0
YBR028C_idr_2,YPK3,0,0,0,0,0,0,0,1,0,0,0,0,0
YBR029C_idr_1,CDS1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR030W_idr_3,RKM3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR033W_idr_1,EDS1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBR033W_idr_2,EDS1,0,0,0,0,0,0,0,0,0,0,0,0,0
